locus_id,accession,gene_gi,scaffold_id,start,stop,strand,gene_id,gene_name,gene_desc,cog,cog_fun,cog_desc,tigr_fam,tigr_roles,go,ec,ec_desc
206164,YP_009959.1,46579151.0,1944,826938,825817,-,DVU0738,DVU0738,"substrate-binding protein, putative (TIGR)",COG683,E,"ABC-type branched-chain amino acid transport systems, periplasmic component",,,"GO:0006865,GO:0030288",,
206165,YP_009960.1,46579152.0,1944,827065,827637,+,DVU0739,DVU0739,conserved hypothetical protein TIGR00296 (TIGR),COG2078,S,Uncharacterized conserved protein,"TIGR00296 uncharacterized protein, PH0010 family",Unknown function:General,,,
206166,YP_009961.1,46579153.0,1944,827914,829089,+,DVU0740,DVU0740,"membrane protein, putative (TIGR)",,,,,,,,
206167,YP_009962.1,46579154.0,1944,829146,829622,+,DVU0741,DVU0741,hypothetical protein (TIGR),,,,,,,,
206168,YP_009963.1,46579155.0,1944,829630,830466,+,DVU0742,DVU0742,hypothetical protein (TIGR),,,,,,GO:0006950,,
206169,YP_009964.1,46579156.0,1944,830471,832468,+,DVU0743,DVU0743,sensory box histidine kinase (TIGR),COG3852,T,"Signal transduction histidine kinase, nitrogen specific",TIGR00229 PAS domain S-box protein,Regulatory functions:Small molecule interactions,"GO:0018106,GO:0006355,GO:0000160,GO:0016020,GO:0000155,GO:0005524,GO:0016787",,
206170,YP_009965.1,46579157.0,1944,832468,834177,+,DVU0744,DVU0744,sigma-54 dependent transcriptional regulator/response regulator (TIGR),COG3829,KT,"Transcriptional regulator containing PAS, AAA-type ATPase, and DNA-binding domains",TIGR00229 PAS domain S-box protein,Regulatory functions:Small molecule interactions,"GO:0009605,GO:0006355,GO:0000160,GO:0005622,GO:0005524,GO:0017111,GO:0003700,GO:0008134,GO:0000156",,
206171,YP_009966.1,46579158.0,1944,834410,835228,+,DVU0745,DVU0745,"ABC transporter, periplasmic substrate-binding protein (TIGR)",COG2998,H,"ABC-type tungstate transport system, permease component",,,"GO:0006810,GO:0005215",,
206172,YP_009967.1,46579159.0,1944,835639,836385,+,DVU0746,cysW,"ABC transporter, permease protein (TIGR)",COG4662,H,"ABC-type tungstate transport system, periplasmic component",,,"GO:0006810,GO:0016020,GO:0005215",,
206173,YP_009968.1,46579160.0,1944,836382,837020,+,DVU0747,cysA,"ABC transporter, ATP-binding protein (TIGR)",COG1124,EP,"ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component",,,"GO:0005524,GO:0016887",,
408300,YP_009969.1,46579161.0,1944,839052,837106,-,DVU0748,acs,acetyl-CoA synthetase (TIGR),COG365,I,Acyl-coenzyme A synthetases/AMP-(fatty) acid ligases,TIGR02188 acetate--CoA ligase [acsA],,"GO:0008152,GO:0003987,GO:0016208",6.2.1.1,Acetate--CoA ligase.
206175,YP_009970.1,46579162.0,1944,840031,839102,-,DVU0749,DVU0749,DNA-binding response regulator (TIGR),COG3279,KT,Response regulator of the LytR/AlgR family,,,"GO:0006355,GO:0000160,GO:0000156",,
206176,YP_009971.1,46579163.0,1944,842331,840322,-,DVU0750,DVU0750,methyl-accepting chemotaxis protein (TIGR),COG840,NT,Methyl-accepting chemotaxis protein,,,"GO:0000160,GO:0006935,GO:0016020,GO:0000155",,
206177,YP_009972.1,46579164.0,1944,844517,842727,-,DVU0751,DVU0751,"amino acid ABC transporter, permease protein, His/Glu/Gln/Arg/opine family (TIGR)",COG1178,P,"ABC-type Fe3+ transport system, permease component",,,"GO:0006810,GO:0009276,GO:0016021,GO:0005215",,
206178,YP_009973.1,46579165.0,1944,845433,844606,-,DVU0752,DVU0752,"amino acid ABC transporter, amino acid-binding protein (TIGR)",COG834,ET,"ABC-type amino acid transport/signal transduction systems, periplasmic component/domain",,,"GO:0006810,GO:0030288,GO:0005215",,
206179,YP_009974.1,46579166.0,1944,846262,845531,-,DVU0753,DVU0753,"amino acid ABC transporter, ATP-binding protein (TIGR)",COG1126,E,"ABC-type polar amino acid transport system, ATPase component",,,"GO:0005524,GO:0015599,GO:0016887,GO:0015600,GO:0015597,GO:0015601,GO:0015598",3.6.3.21,Polar-amino-acid-transporting ATPase.
206180,YP_009975.1,46579167.0,1944,846393,846259,-,DVU0754,DVU0754,hypothetical protein (TIGR),,,,,,,,
206181,YP_009976.1,46579168.0,1944,847872,846505,-,DVU0755,DVU0755,"sensor histidine kinase, putative (TIGR)",COG642,T,Signal transduction histidine kinase,,,"GO:0018106,GO:0005524,GO:0004673",,
206182,YP_009977.1,46579169.0,1944,848084,848797,+,DVU0756,DVU0756,TPR domain protein (TIGR),,,,,,GO:0005488,,
206183,YP_009978.1,46579170.0,1944,848797,849117,+,DVU0757,DVU0757,hypothetical protein (TIGR),,,,,,,,
206184,YP_009979.1,46579171.0,1944,849771,849322,-,DVU0758,DVU0758,hypothetical protein (TIGR),,,,,,,,
206185,YP_009980.1,46579172.0,1944,850954,849749,-,DVU0759,DVU0759,"peptidase, M29 family (TIGR)",COG2309,E,Leucyl aminopeptidase (aminopeptidase T),,,"GO:0006508,GO:0004177",3.4.11.-,
206186,YP_009981.1,46579173.0,1944,852347,851217,-,DVU0760,DVU0760,hypothetical protein (TIGR),,,,,,GO:0005488,,
206187,YP_009982.1,46579174.0,1944,853088,852498,-,DVU0761,DVU0761,"lipoprotein, putative (TIGR)",,,,,,,,
206188,YP_009983.1,46579175.0,1944,853584,853114,-,DVU0762,DVU0762,conserved hypothetical protein (TIGR),COG3449,L,DNA gyrase inhibitor,,,,,
206189,YP_009984.1,46579176.0,1944,853682,854617,+,DVU0763,gdp,GGDEF domain protein (TIGR),COG2199,T,FOG: GGDEF domain,TIGR00254 diguanylate cyclase (GGDEF) domain,Signal transduction:Other,"GO:0007242,GO:0009190,GO:0016849",,
206190,,,1944,854737,855012,+,,hup-2,DNA-binding protein HU (TIGR),COG776,L,Bacterial nucleoid DNA-binding protein,,,GO:0003677,,
11399162,,,1944,855571,855305,-,,Protein-coding gene,,,,,,,,,
206191,YP_009986.1,46579178.0,1944,856928,855564,-,DVU0765,DVU0765,"hydroxypyruvate reductase, putative (TIGR)",COG2379,G,Putative glycerate kinase,,,GO:0016618,1.1.1.81,Hydroxypyruvate reductase.
206193,YP_009987.1,46579179.0,1944,857127,857657,+,DVU0766,DVU0766,"transporter, putative (TIGR)",COG2823,R,Predicted periplasmic or secreted lipoprotein,,,,,
206194,YP_009988.1,46579180.0,1944,858884,857778,-,DVU0767,DVU0767,"aminotransferase, class V (TIGR)",COG75,E,Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase,,,"GO:0008152,GO:0008483,GO:0030170",2.6.1.-,
206195,YP_009989.1,46579181.0,1944,859821,858973,-,DVU0768,murI,glutamate racemase (TIGR),COG796,M,Glutamate racemase,TIGR00067 glutamate racemase [murI],Cell envelope:Biosynthesis and degradation of murein sacculus and peptidoglycan,"GO:0009252,GO:0008881",5.1.1.3,Glutamate racemase.
206196,YP_009990.1,46579182.0,1944,860701,859823,-,DVU0769,DVU0769,"pyridoxal kinase, putative (TIGR)",COG2240,H,Pyridoxal/pyridoxine/pyridoxamine kinase,,,"GO:0008478,GO:0003676",2.7.1.35,Pyridoxal kinase.
206197,YP_009991.1,46579183.0,1944,861933,860983,-,DVU0770,DVU0770,"membrane protein, putative (TIGR)",COG730,R,Predicted permeases,,,GO:0016021,,
206198,YP_009992.1,46579184.0,1944,862088,863158,+,DVU0771,DVU0771,"molybdenum-pterin binding domain protein/site-specific recombinase, phage integrase family (TIGR)",COG3585,H,Molybdopterin-binding protein,TIGR00638 molybdenum-pterin binding domain,Transport and binding proteins:Anions,"GO:0006310,GO:0006810,GO:0015074,GO:0043190,GO:0005524,GO:0015412,GO:0003677,GO:0030151",,
206199,YP_009993.1,46579185.0,1944,863747,863400,-,DVU0772,DVU0772,hypothetical protein (TIGR),,,,,,,,
206200,YP_009994.1,46579186.0,1944,864023,864262,+,DVU0773,DVU0773,hypothetical protein (TIGR),,,,,,,,
206201,YP_009995.1,46579187.0,1944,864793,864389,-,DVU0774,atpC,"ATP synthase, F1 epsilon subunit (TIGR)",COG355,C,"F0F1-type ATP synthase, epsilon subunit (mitochondrial delta subunit)","TIGR01216 ATP synthase F1, epsilon subunit [atpC]",Energy metabolism:ATP-proton motive force interconversion,"GO:0015986,GO:0045259,GO:0045262,GO:0003936,GO:0046933,GO:0046961",3.6.3.14,H(+)-transporting two-sector ATPase.
206202,YP_009996.1,46579188.0,1944,866217,864805,-,DVU0775,atpD,"ATP synthase, F1 beta subunit (TIGR)",COG55,C,"F0F1-type ATP synthase, beta subunit","TIGR01039 ATP synthase F1, beta subunit [atpD]",Energy metabolism:ATP-proton motive force interconversion,"GO:0015986,GO:0016021,GO:0045262,GO:0045259,GO:0005524,GO:0008553,GO:0046933,GO:0003936,GO:0046961",3.6.3.14,H(+)-transporting two-sector ATPase.
206203,YP_009997.1,46579189.0,1944,867111,866236,-,DVU0776,atpG,"ATP synthase, F1 gamma subunit (TIGR)",COG224,C,"F0F1-type ATP synthase, gamma subunit","TIGR01146 ATP synthase F1, gamma subunit [atpG]",Energy metabolism:ATP-proton motive force interconversion,"GO:0015986,GO:0045259,GO:0045262,GO:0003936,GO:0005198,GO:0046933,GO:0046961",3.6.3.14,H(+)-transporting two-sector ATPase.
206204,YP_009998.1,46579190.0,1944,868636,867128,-,DVU0777,atpA,"ATP synthase, F1 alpha subunit (TIGR)",COG56,C,"F0F1-type ATP synthase, alpha subunit","TIGR00962 ATP synthase F1, alpha subunit [atpA]",Energy metabolism:ATP-proton motive force interconversion,"GO:0015986,GO:0045259,GO:0045262,GO:0016021,GO:0005524,GO:0046933,GO:0046961,GO:0008553,GO:0003936",3.6.3.14,H(+)-transporting two-sector ATPase.
206205,YP_009999.1,46579191.0,1944,869192,868641,-,DVU0778,atpH,"ATP synthase, F1 delta subunit (TIGR)",COG712,C,"F0F1-type ATP synthase, delta subunit (mitochondrial oligomycin sensitivity protein)","TIGR01145 ATP synthase F1, delta subunit [atpH]",Energy metabolism:ATP-proton motive force interconversion,"GO:0015986,GO:0045259,GO:0045262,GO:0003936,GO:0046933,GO:0046961",3.6.3.14,H(+)-transporting two-sector ATPase.
206206,YP_010000.1,46579192.0,1944,869719,869189,-,DVU0779,atpF2,"ATP synthase F0, B subunit, putative (TIGR)",COG711,C,"F0F1-type ATP synthase, subunit b",,,"GO:0015986,GO:0045259,GO:0046933,GO:0046961,GO:0003936",3.6.3.14,H(+)-transporting two-sector ATPase.
206207,YP_010001.1,46579193.0,1944,870187,869792,-,DVU0780,atpF1,"ATP synthase F0, B subunit, putative (TIGR)",COG711,C,"F0F1-type ATP synthase, subunit b",,,"GO:0015986,GO:0045259,GO:0003936,GO:0046933,GO:0046961",3.6.3.14,H(+)-transporting two-sector ATPase.
206211,YP_010005.1,46579197.0,1944,871332,870985,-,DVU0784,DVU0784,conserved hypothetical protein (TIGR),COG1664,M,Integral membrane protein CcmA involved in cell shape determination,,,,,
206212,YP_010006.1,46579198.0,1944,872485,871370,-,DVU0785,rodA,rod shape-determining protein RodA (TIGR),COG772,D,Bacterial cell division membrane protein,TIGR02210 rod shape-determining protein RodA [mrdB],Cellular processes:Cell division,"GO:0007049,GO:0008360,GO:0009276,GO:0016021",,
206213,YP_010007.1,46579199.0,1944,874269,872482,-,DVU0786,DVU0786,penicillin-binding protein (TIGR),COG768,M,Cell division protein FtsI/penicillin-binding protein 2,TIGR03423 penicillin-binding protein 2 [mrdA],Cell envelope:Biosynthesis and degradation of murein sacculus and peptidoglycan,"GO:0009273,GO:0008658,GO:0008955",2.4.1.129,Peptidoglycan glycosyltransferase.
206214,YP_010008.1,46579200.0,1944,874723,874253,-,DVU0787,DVU0787,hypothetical protein (TIGR),,,,,,,,
206215,YP_010009.1,46579201.0,1944,875644,874730,-,DVU0788,mreC,rod shape-determining protein MreC (TIGR),COG1792,M,Cell shape-determining protein,TIGR00219 rod shape-determining protein MreC [mreC],Cell envelope:Biosynthesis and degradation of murein sacculus and peptidoglycan,GO:0008360,,
206216,YP_010010.1,46579202.0,1944,876686,875646,-,DVU0789,mreB-1,rod shape-determining protein MreB (TIGR),COG1077,D,Actin-like ATPase involved in cell morphogenesis,"TIGR00904 cell shape determining protein, MreB/Mrl family",Cell envelope:Biosynthesis and degradation of murein sacculus and peptidoglycan,"GO:0000902,GO:0005524",,
206217,YP_010011.1,46579203.0,1944,876761,877816,+,DVU0790,DVU0790,"radical SAM protein, TIGR01212 family (TIGR)",COG1242,R,Predicted Fe-S oxidoreductase,"TIGR01212 radical SAM protein, TIGR01212 family",Unknown function:Enzymes of unknown specificity,"GO:0008152,GO:0003824,GO:0051536",,
206218,YP_010012.1,46579204.0,1944,877891,878376,+,DVU0791,ogt,"methylated-DNA--protein-cysteine methyltransferase, DNA-binding domain protein (TIGR)",COG350,L,Methylated DNA-protein cysteine methyltransferase,TIGR00589 methylated-DNA-[protein]-cysteine S-methyltransferase,"DNA metabolism:DNA replication, recombination, and repair","GO:0006281,GO:0003908",2.1.1.63,Methylated-DNA--[protein]-cysteine S-methyltransferase.
206219,YP_010013.1,46579205.0,1944,878370,878702,+,DVU0792,DVU0792,conserved domain protein (TIGR),,,,,,,,
410470,,,1944,879067,878976,-,DVUtRNA-Ser-2,tRNA-Ser,tRNA with anticodon GGA for Ser (VIMSS-AUTO),,,,,,,,
206220,YP_010014.1,46579206.0,1944,879312,879217,-,DVU0793,DVU0793,hypothetical protein (TIGR),,,,,,,,
206221,YP_010015.1,46579207.0,1944,880079,879315,-,DVU0794,fabI,enoyl-(acyl-carrier-protein) reductase (TIGR),COG623,I,Enoyl-[acyl-carrier-protein] reductase (NADH),,,"GO:0006633,GO:0008152,GO:0004318,GO:0004319","1.3.1.9,1.3.1.10","Enoyl-[acyl-carrier-protein] reductase (NADH).,Enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific)."
206222,YP_010016.1,46579208.0,1944,881089,880193,-,DVU0795,purC,phosphoribosylaminoimidazole-succinocarboxamide synthase (TIGR),COG152,F,Phosphoribosylaminoimidazolesuccinocarboxamide (SAICAR) synthase,TIGR00081 phosphoribosylaminoimidazolesuccinocarboxamide synthase [purC],"Purines, pyrimidines, nucleosides, and nucleotides:Purine ribonucleotide biosynthesis","GO:0006164,GO:0004639,GO:0005524",6.3.2.6,Phosphoribosylaminoimidazolesuccinocarboxamide synthase.
206223,YP_010017.1,46579209.0,1944,882416,881106,-,DVU0796,hisD,histidinol dehydrogenase (TIGR),COG141,E,Histidinol dehydrogenase,TIGR00069 histidinol dehydrogenase [hisD],Amino acid biosynthesis:Histidine family,"GO:0000105,GO:0004399,GO:0030060,GO:0008270,GO:0051287","1.1.1.23,1.1.1.37","Histidinol dehydrogenase.,Malate dehydrogenase."
408301,YP_010018.1,46579210.0,1944,883976,882546,-,DVU0797,DVU0797,conserved hypothetical protein (TIGR),,,,,,,,
206224,YP_010019.1,46579211.0,1944,884131,884036,-,DVU0798,DVU0798,hypothetical protein (TIGR),,,,,,,,
206225,YP_010020.1,46579212.0,1944,885779,884379,-,DVU0799,DVU0799,conserved hypothetical protein (TIGR),,,,,,,,
206227,YP_010022.1,46579214.0,1944,886202,888310,+,DVU0801,uvrC,"excinuclease ABC, C subunit (TIGR)",,,,TIGR00194 excinuclease ABC subunit C [uvrC],"DNA metabolism:DNA replication, recombination, and repair","GO:0006289,GO:0005737,GO:0009380,GO:0043565,GO:0009381",3.1.25.-,
206228,YP_010023.1,46579215.0,1944,888398,888514,+,DVU0802,DVU0802,hypothetical protein (TIGR),,,,,,,,
206229,YP_010024.1,46579216.0,1944,888532,889797,+,DVU0803,DVU0803,sensor histidine kinase (TIGR),COG642,T,Signal transduction histidine kinase,,,"GO:0018106,GO:0007165,GO:0016020,GO:0000155,GO:0005524",,
206230,YP_010025.1,46579217.0,1944,889782,891254,+,DVU0804,atoC,sigma-54 dependent transcriptional regulator/response regulator (TIGR),COG2204,T,"Response regulator containing CheY-like receiver, AAA-type ATPase, and DNA-binding domains",,,"GO:0006355,GO:0000160,GO:0005622,GO:0005524,GO:0008134,GO:0000156,GO:0017111,GO:0003700",,
206231,YP_010026.1,46579218.0,1944,891422,891718,+,DVU0805,DVU0805,hypothetical protein (TIGR),,,,,,,,
206232,YP_010027.1,46579219.0,1944,891715,892125,+,DVU0806,DVU0806,"chemotaxis protein CheY, putative (TIGR)",COG784,T,FOG: CheY-like receiver,,,"GO:0000160,GO:0006355,GO:0000156",2.7.3.-,
206233,YP_010028.1,46579220.0,1944,893435,892395,-,DVU0807,trmU,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (TIGR),COG482,J,"Predicted tRNA(5-methylaminomethyl-2-thiouridylate) methyltransferase, contains the PP-loop ATPase domain",TIGR00420 tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase [trmU],Protein synthesis:tRNA and rRNA base modification,"GO:0006396,GO:0008033,GO:0005737,GO:0004808",2.1.1.61,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase.
206234,YP_010029.1,46579221.0,1944,894919,893450,-,DVU0808,gatA,"glutamyl-tRNA(Gln) amidotransferase, A subunit (TIGR)",COG154,J,Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit and related amidases,"TIGR00132 aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, A subunit [gatA]",Protein synthesis:tRNA aminoacylation,"GO:0006412,GO:0006424,GO:0050567,GO:0050566,GO:0004040","6.3.5.6,6.3.5.7,6.3.5.-","Asparaginyl-tRNA synthase (glutamine-hydrolyzing).,Glutaminyl-tRNA synthase (glutamine-hydrolyzing).,"
206235,YP_010030.1,46579222.0,1944,895225,894941,-,DVU0809,gatC,"glutamyl-tRNA(Gln) amidotransferase, C subunit (TIGR)",COG721,J,Asp-tRNAAsn/Glu-tRNAGln amidotransferase C subunit,"TIGR00135 aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, C subunit [gatC]",Protein synthesis:tRNA aminoacylation,"GO:0006424,GO:0006450,GO:0050566,GO:0050567","6.3.5.6,6.3.5.7,6.3.5.-","Asparaginyl-tRNA synthase (glutamine-hydrolyzing).,Glutaminyl-tRNA synthase (glutamine-hydrolyzing).,"
206236,YP_010031.1,46579223.0,1944,897305,895245,-,DVU0810,DVU0810,hypothetical protein (TIGR),,,,,,,,
206238,YP_010032.1,46579224.0,1944,899275,897365,-,DVU0811,dnaK,dnaK protein (TIGR),COG443,O,Molecular chaperone,TIGR02350 chaperone protein DnaK [dnaK],Protein fate:Protein folding and stabilization,"GO:0006457,GO:0005524,GO:0032440,GO:0051082",1.3.1.74,2-alkenal reductase.
206239,YP_010033.1,46579225.0,1944,900069,899494,-,DVU0812,grpE,heat shock protein GrpE (TIGR),COG576,O,Molecular chaperone GrpE (heat shock protein),,,"GO:0006457,GO:0006508,GO:0000774,GO:0042803,GO:0004197,GO:0051087",,
11399163,,,1944,900272,900156,-,,Protein-coding gene,,,,,,,,,
206240,YP_010034.1,46579226.0,1944,901402,900335,-,DVU0813,hrcA,heat-inducible transcription repressor HrcA (TIGR),COG1420,K,Transcriptional regulator of heat shock gene,TIGR00331 heat-inducible transcription repressor HrcA [hrcA],Regulatory functions:DNA interactions,GO:0006355,,
206241,YP_010035.2,304569687.0,1944,902020,901535,-,DVU0814,bcp,"bacterioferritin comigratory protein, putative (TIGR)",COG1225,O,Peroxiredoxin,,,GO:0051920,"1.11.1.15,1.11.1.7","Peroxiredoxin.,Peroxidase."
206242,YP_010036.1,46579228.0,1944,904310,902205,-,DVU0815,DVU0815,AsmA family protein (TIGR),COG2982,M,Uncharacterized protein involved in outer membrane biogenesis,,,,,
206243,YP_010037.1,46579229.0,1944,904464,906095,+,DVU0816,cobQ,cobyric acid synthase CobQ (TIGR),COG1492,H,Cobyric acid synthase,TIGR00313 cobyric acid synthase CobQ [cobQ],"Biosynthesis of cofactors, prosthetic groups, and carriers:Heme, porphyrin, and cobalamin","GO:0009236,GO:0051921,GO:0042242",6.3.5.10,Adenosylcobyric acid synthase (glutamine-hydrolyzing).
206244,YP_010038.1,46579230.0,1944,906625,906158,-,DVU0817,DVU0817,hypothetical protein (TIGR),,,,,,,,
206245,YP_010039.1,46579231.0,1944,906828,908576,+,DVU0818,DVU0818,conserved domain protein (TIGR),COG4262,R,Predicted spermidine synthase with an N-terminal membrane domain,,,,,
206246,YP_010040.1,46579232.0,1944,909507,908890,-,DVU0819,isf-1,"FMN reductase, NADPH-dependent (TIGR)",COG655,R,Multimeric flavodoxin WrbA,,,,,
206248,YP_010042.1,46579234.0,1944,910510,909911,-,DVU0821,DVU0821,conserved hypothetical protein (TIGR),,,,,,,,
206249,YP_010043.1,46579235.0,1944,911178,910522,-,DVU0822,DVU0822,hypothetical protein (TIGR),,,,,,,,
410469,,,1944,911428,911334,-,DVUtRNA-Ser-3,tRNA-Ser,tRNA with anticodon GCT for Ser (VIMSS-AUTO),,,,,,,,
206250,YP_010044.1,46579236.0,1944,912766,911585,-,DVU0823,argJ,arginine biosynthesis bifunctional protein ArgJ (TIGR),COG1364,E,N-acetylglutamate synthase (N-acetylornithine aminotransferase),TIGR00120 glutamate N-acetyltransferase/amino-acid acetyltransferase [argJ],Amino acid biosynthesis:Glutamate family,"GO:0006526,GO:0004042,GO:0004358","2.3.1.1,2.3.1.35","Amino-acid N-acetyltransferase.,Glutamate N-acetyltransferase."
206252,YP_010046.1,46579238.0,1944,915546,913045,-,DVU0825,secA,"preprotein translocase, SecA subunit (TIGR)",COG653,U,"Preprotein translocase subunit SecA (ATPase, RNA helicase)","TIGR00963 preprotein translocase, SecA subunit [secA]",Protein fate:Protein and peptide secretion and trafficking,"GO:0006605,GO:0017038,GO:0016020,GO:0005524,GO:0003676,GO:0004386,GO:0005515",3.6.3.-,
206253,YP_010047.1,46579239.0,1944,917031,915709,-,DVU0826,DVU0826,"glycolate oxidase, iron-sulfur subunit, putative (TIGR)",COG247,C,Fe-S oxidoreductase,,,"GO:0006118,GO:0051536,GO:0009055",,
206254,YP_010048.1,46579240.0,1944,918594,917179,-,DVU0827,DVU0827,"glycolate oxidase, subunit GlcD, putative (TIGR)",COG277,C,FAD/FMN-containing dehydrogenases,,,"GO:0009339,GO:0008891,GO:0050660",1.1.3.15,(S)-2-hydroxy-acid oxidase.
206256,YP_010049.1,46579241.0,1944,919087,918623,-,DVU0828,smpB,SsrA-binding protein (TIGR),COG691,O,tmRNA-binding protein,TIGR00086 SsrA-binding protein [smpB],Protein synthesis:Other,"GO:0006412,GO:0003723",,
206257,YP_010050.1,46579242.0,1944,920871,919099,-,DVU0829,ptsI,phosphoenolpyruvate-protein phosphotransferase (TIGR),COG1080,G,Phosphoenolpyruvate-protein kinase (PTS system EI component in bacteria),TIGR01417 phosphoenolpyruvate-protein phosphotransferase [ptsP],,"GO:0016310,GO:0009401,GO:0005737,GO:0005351,GO:0008965",2.7.3.9,Phosphoenolpyruvate--protein phosphotransferase.
206258,YP_010051.1,46579243.0,1944,921142,920882,-,DVU0830,ptsH,phosphocarrier protein HPr (TIGR),COG1925,G,"Phosphotransferase system, HPr-related proteins","TIGR01003 phosphocarrier,  HPr family",Signal transduction:PTS,"GO:0009401,GO:0009357,GO:0005351,GO:0008982",2.7.1.69,Protein-N(pi)-phosphohistidine--sugar phosphotransferase.
206259,YP_010052.1,46579244.0,1944,921961,921203,-,DVU0831,DVU0831,"PTS system, IID component, putative (TIGR)",COG3716,G,"Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IID",,,"GO:0009401,GO:0016021",,
206260,YP_010053.1,46579245.0,1944,923204,922377,-,DVU0832,DVU0832,tetrapyrrole methylase family protein (TIGR),COG313,R,Predicted methyltransferases,"TIGR00096 putative S-adenosylmethionine-dependent methyltransferase, YraL family [yraL]",Unknown function:Enzymes of unknown specificity,"GO:0008152,GO:0008168",2.1.1.-,
408302,YP_010054.1,46579246.0,1944,923550,923146,-,DVU0833,DVU0833,conserved hypothetical protein TIGR00252 (TIGR),COG792,L,Predicted endonuclease distantly related to archaeal Holliday junction resolvase,TIGR00252 TIGR00252 family protein,Hypothetical proteins:Conserved,"GO:0003677,GO:0004518",3.1.-.-,
206261,YP_010055.1,46579247.0,1944,924206,923544,-,DVU0834,rnhB,ribonuclease HII (TIGR),COG164,L,Ribonuclease HII,,,"GO:0006401,GO:0003723,GO:0004523,GO:0004521",3.1.26.4,Ribonuclease H.
206262,YP_010056.1,46579248.0,1944,924904,924557,-,DVU0835,rplS,ribosomal protein L19 (TIGR),COG335,J,Ribosomal protein L19,TIGR01024 ribosomal protein L19 [rplS],Protein synthesis:Ribosomal proteins: synthesis and modification,"GO:0006412,GO:0005840,GO:0003735",,
206263,YP_010057.1,46579249.0,1944,926235,924958,-,DVU0836,trmD,tRNA (guanine-N1)-methyltransferase (TIGR),COG336,J,tRNA-(guanine-N1)-methyltransferase,TIGR00088 tRNA (guanine-N1)-methyltransferase [trmD],Protein synthesis:tRNA and rRNA base modification,"GO:0008033,GO:0006400,GO:0003723,GO:0009019",2.1.1.31,tRNA (guanine-N(1)-)-methyltransferase.
206264,YP_010058.1,46579250.0,1944,926780,926250,-,DVU0837,rimM,16S rRNA processing protein RimM (TIGR),COG806,J,"RimM protein, required for 16S rRNA processing",TIGR02273 16S rRNA processing protein RimM [rimM],Transcription:RNA processing,"GO:0006364,GO:0005840,GO:0043022",,
206265,YP_010059.1,46579251.0,1944,927037,926804,-,DVU0838,DVU0838,conserved hypothetical protein (TIGR),COG1837,R,Predicted RNA-binding protein (contains KH domain),,,GO:0003723,,
206266,YP_010060.1,46579252.0,1944,927360,927121,-,DVU0839,rpsP,ribosomal protein S16 (TIGR),COG228,J,Ribosomal protein S16,TIGR00002 ribosomal protein S16 [rpsP],Protein synthesis:Ribosomal proteins: synthesis and modification,"GO:0006412,GO:0005840,GO:0003735",,
206267,YP_010061.1,46579253.0,1944,928965,927439,-,DVU0840,ffh,signal recognition particle protein (TIGR),COG541,U,Signal recognition particle GTPase,TIGR00959 signal recognition particle protein [ffh],Protein fate:Protein and peptide secretion and trafficking,"GO:0006614,GO:0048500,GO:0016020,GO:0005786,GO:0008312,GO:0017111,GO:0008548,GO:0005525,GO:0003924",3.6.5.4,Signal-recognition-particle GTPase.
206268,YP_010062.1,46579254.0,1944,930375,929194,-,DVU0841,DVU0841,"aspartate aminotransferase, putative (TIGR)",COG436,E,Aspartate/tyrosine/aromatic aminotransferase,,,"GO:0009058,GO:0030170,GO:0004069",2.6.1.1,Aspartate transaminase.
206269,YP_010063.1,46579255.0,1944,930714,930484,-,DVU0842,DVU0842,hypothetical protein (TIGR),,,,,,,,
206270,YP_010064.2,304569688.0,1944,932302,930704,-,DVU0843,DVU0843,hypothetical protein (TIGR),COG128,E,5-enolpyruvylshikimate-3-phosphate synthase,,,GO:0016765,,
206272,YP_010067.1,46579259.0,1944,933076,933579,+,DVU0846,ApsB,"adenylylsulphate reductase, beta subunit (TIGR)",COG1146,C,Ferredoxin,"TIGR02060 adenylylsulfate reductase, beta subunit [aprB]",Central intermediary metabolism:Sulfur metabolism,"GO:0006118,GO:0019425,GO:0010134,GO:0009055,GO:0051536,GO:0009973",1.8.99.2,Adenylyl-sulfate reductase.
206274,YP_010068.1,46579260.0,1944,933621,935615,+,DVU0847,ApsA,"adenylyl-sulphate reductase, alpha subunit (TIGR)",COG1053,C,"Succinate dehydrogenase/fumarate reductase, flavoprotein subunit","TIGR02061 adenylylsulfate reductase, alpha subunit [aprA]",Central intermediary metabolism:Sulfur metabolism,"GO:0006118,GO:0010134,GO:0019425,GO:0009973",1.8.99.2,Adenylyl-sulfate reductase.
